epoch,total,recon,phys,lambda_phys,recon_weight,GradNorm,pred_Mean_K,pred_Mean_dP/dy,pred_FlowRate,pred_Porosity,pred_Anisotropy
12,0.17020344734191895,0.1492239236831665,0.030809734016656876,5.04,0.1,1.0579745666977942,0.08883300423622131,-0.01769702136516571,-0.017846664413809776,0.06627131253480911,0.8791666030883789
13,0.17334102094173431,0.14923159778118134,0.03040650114417076,5.21,0.1,0.7364628061069993,0.08882760256528854,-0.01783067360520363,-0.017968617379665375,0.06874670088291168,0.8801360130310059
14,0.17657682299613953,0.14922380447387695,0.03004729375243187,5.380000000000001,0.1,2.2427948740041757,0.08880185335874557,-0.018067117780447006,-0.018021266907453537,0.0711807832121849,0.8804118037223816
15,0.17553234100341797,0.14923712611198425,0.02893849089741707,5.55,0.1,1.8644462116817522,0.08917458355426788,-0.018587889149785042,-0.017995059490203857,0.07776395231485367,0.8838717341423035
16,0.1742110252380371,0.14925941824913025,0.027847042307257652,5.720000000000001,0.1,1.6680139968875665,0.08993649482727051,-0.019089603796601295,-0.018011394888162613,0.08370864391326904,0.8890517950057983
17,0.16927655041217804,0.14930176734924316,0.026204818859696388,5.890000000000001,0.1,1.697767341323015,0.09103936702013016,-0.0188786331564188,-0.017924323678016663,0.09205983579158783,0.8996656537055969
18,0.16256189346313477,0.14934435486793518,0.024360965937376022,6.0600000000000005,0.1,2.8074683352074317,0.09281306713819504,-0.018747255206108093,-0.01693469099700451,0.09975120425224304,0.9195939898490906
19,0.15337282419204712,0.14945727586746216,0.02221943810582161,6.23,0.1,6.98699671813165,0.09768854081630707,-0.01701699011027813,-0.014446718618273735,0.10637926310300827,0.9630981087684631
20,0.1573874056339264,0.14964351058006287,0.022253600880503654,6.4,0.1,14.243706720501905,0.10160315036773682,-0.014379539526998997,-0.012244519777595997,0.10257202386856079,1.016910433769226
21,0.15629498660564423,0.14966997504234314,0.021511109545826912,6.57,0.1,8.726215327647878,0.10127031803131104,-0.015043901279568672,-0.012569867074489594,0.10832274705171585,1.0130398273468018
22,0.1595662236213684,0.14957600831985474,0.02145528420805931,6.74,0.1,4.91795087905939,0.09986668825149536,-0.01679603010416031,-0.01377315167337656,0.10943256318569183,0.9902600049972534
23,0.1603928655385971,0.14950890839099884,0.0210480447858572,6.91,0.1,3.8924664220912746,0.09890708327293396,-0.01724519394338131,-0.014369502663612366,0.1135096400976181,0.9806100130081177
24,0.16101236641407013,0.14949792623519897,0.020630305632948875,7.08,0.1,8.907660424668393,0.09767927974462509,-0.017498506233096123,-0.014650458469986916,0.11845441907644272,0.9675717353820801
25,0.16095022857189178,0.14953088760375977,0.02013753540813923,7.25,0.1,1.9400274057973093,0.09793224930763245,-0.017502177506685257,-0.014510700479149818,0.12184283882379532,0.9724287390708923
26,0.16293734312057495,0.14954786002635956,0.019943740218877792,7.42,0.1,5.8995969384307045,0.09820439666509628,-0.01727365143597126,-0.014594833366572857,0.12291301786899567,0.9769183397293091
27,0.16550062596797943,0.1495518982410431,0.01983470842242241,7.59,0.1,6.7768562741021015,0.09809347987174988,-0.01733943447470665,-0.014647262170910835,0.1240607500076294,0.9746143221855164
28,0.16823434829711914,0.14955836534500122,0.01975238509476185,7.760000000000001,0.1,2.9677541563414707,0.0980851948261261,-0.01745552197098732,-0.014587090350687504,0.12460833787918091,0.9760220050811768
29,0.17255418002605438,0.14957298338413239,0.01987350359559059,7.93,0.1,2.8280084608322795,0.09951631724834442,-0.01683591678738594,-0.01407606154680252,0.12243100255727768,0.9860371947288513
30,0.17478114366531372,0.149577334523201,0.01973128318786621,8.1,0.1,4.631795596291795,0.09992212802171707,-0.01673194393515587,-0.014009756967425346,0.12329315394163132,0.9896339178085327
31,0.17601405084133148,0.14959269762039185,0.019474579021334648,8.27,0.1,3.266238078934748,0.09954971075057983,-0.017046282067894936,-0.013976329006254673,0.1255650371313095,0.988613486289978
32,0.17701183259487152,0.14960315823554993,0.019200418144464493,8.440000000000001,0.1,1.3659095211615977,0.09889797121286392,-0.017419926822185516,-0.01421376597136259,0.12826885282993317,0.9846813678741455
33,0.18023301661014557,0.14958584308624268,0.019195636734366417,8.61,0.1,4.766417579676727,0.0982552319765091,-0.017907319590449333,-0.0144509831443429,0.1288357377052307,0.9802556037902832
